ensemble,n,k,param_label,param_value,distance_label,d_mean,d_n,d_stdv
gnk,500,0.0001225,k,0.0001225,CommunicabilityJSD,5.625684173691145e-05,1196,0.0002508094176305726
gnk,500,0.0001225,k,0.0001225,DMeasure,0.00020865943119044916,1196,0.0009470281813036744
gnk,500,0.0001225,k,0.0001225,DegreeDivergence,0.00010559175228852673,1196,0.0004477800339930274
gnk,500,0.0001225,k,0.0001225,DeltaCon,0.04612976731856101,1196,0.19544848354344252
gnk,500,0.0001225,k,0.0001225,Frobenius,0.0746818561856705,1196,0.3164216164130891
gnk,500,0.0001225,k,0.0001225,GraphDiffusion,0.03338105214266484,1196,0.14143310056851893
gnk,500,0.0001225,k,0.0001225,Hamming,4.2331099751892765e-07,1196,1.7935380415206719e-06
gnk,500,0.0001225,k,0.0001225,HammingIpsenMikhailov,0.00011131070331236995,1196,0.0004719475234698358
gnk,500,0.0001225,k,0.0001225,IpsenMikhailov,0.0005056216335802015,1196,0.0021441757274138344
gnk,500,0.0001225,k,0.0001225,Jaccard,1.0,1196,0.0
gnk,500,0.0001225,k,0.0001225,LaplacianSpectralEUL,0.0007781474363748567,1196,0.003299868388957317
gnk,500,0.0001225,k,0.0001225,LaplacianSpectralGJS,0.0013884879451415459,1196,0.005888122564492628
gnk,500,0.0001225,k,0.0001225,NetLSD,0.6325825589619003,1196,2.6825754248434217
gnk,500,0.0001225,k,0.0001225,NetSimile,0.6421404682274248,1196,2.7017484065357933
gnk,500,0.0001225,k,0.0001225,PolynomialDissimilarity,2.9872922430487936e-07,1196,1.2656940902670671e-06
gnk,500,0.0001225,k,0.0001225,PortraitDivergence,0.00010517046196980366,1196,0.0004459934797484947
gnk,500,0.0001225,k,0.0001225,QuantumJSD,0.0001906421481423554,1196,0.0008077369759221666
gnk,500,0.00014280000000000003,k,0.00014280000000000003,CommunicabilityJSD,6.787205413064446e-05,1196,0.00027405119337921193
gnk,500,0.00014280000000000003,k,0.00014280000000000003,DMeasure,0.00023200865222885224,1195,0.000995892864540032
gnk,500,0.00014280000000000003,k,0.00014280000000000003,DegreeDivergence,0.0001158419874526067,1196,0.00046774236188135246
gnk,500,0.00014280000000000003,k,0.00014280000000000003,DeltaCon,0.05060791993338913,1196,0.20416099358364653
gnk,500,0.00014280000000000003,k,0.00014280000000000003,Frobenius,0.08193176809718174,1196,0.3305267476474476
gnk,500,0.00014280000000000003,k,0.00014280000000000003,GraphDiffusion,0.03662159408830438,1196,0.14773776605571107
gnk,500,0.00014280000000000003,k,0.00014280000000000003,Hamming,4.6440488028954685e-07,1196,1.873488614228818e-06
gnk,500,0.00014280000000000003,k,0.00014280000000000003,HammingIpsenMikhailov,0.00012211429110347828,1196,0.0004929872011117598
gnk,500,0.00014280000000000003,k,0.00014280000000000003,IpsenMikhailov,0.0005547044505229648,1196,0.0022397644890187964
gnk,500,0.00014280000000000003,k,0.00014280000000000003,Jaccard,1.0,1196,0.0
gnk,500,0.00014280000000000003,k,0.00014280000000000003,LaplacianSpectralEUL,0.0008536854783364443,1196,0.003446978688139863
gnk,500,0.00014280000000000003,k,0.00014280000000000003,LaplacianSpectralGJS,0.0015232743053612498,1196,0.006150618934040168
gnk,500,0.00014280000000000003,k,0.00014280000000000003,NetLSD,0.6939900065089144,1196,2.8021663984256007
gnk,500,0.00014280000000000003,k,0.00014280000000000003,NetSimile,0.7224080267558528,1196,2.8554930496128685
gnk,500,0.00014280000000000003,k,0.00014280000000000003,PolynomialDissimilarity,3.277290466475384e-07,1196,1.3221149550870677e-06
gnk,500,0.00014280000000000003,k,0.00014280000000000003,PortraitDivergence,0.00011537980071209252,1196,0.0004658761618757039
gnk,500,0.00014280000000000003,k,0.00014280000000000003,QuantumJSD,0.00020342848523079412,1196,0.0008328245126800353
gnk,500,0.0001665,k,0.0001665,CommunicabilityJSD,0.00010389316006397317,1196,0.00033349422896649533
gnk,500,0.0001665,k,0.0001665,DMeasure,0.00041591728766804734,1196,0.001304385242629467
gnk,500,0.0001665,k,0.0001665,DegreeDivergence,0.00019107078985542884,1196,0.0005886220263692063
gnk,500,0.0001665,k,0.0001665,DeltaCon,0.08333320867183282,1196,0.2567203610210459
gnk,500,0.0001665,k,0.0001665,Frobenius,0.13491242352345853,1196,0.4156178146164823
gnk,500,0.0001665,k,0.0001665,GraphDiffusion,0.060302714398707734,1196,0.18577149323445985
gnk,500,0.0001665,k,0.0001665,Hamming,7.647093349879688e-07,1196,2.355801002783549e-06
gnk,500,0.0001665,k,0.0001665,HammingIpsenMikhailov,0.00020138503576165936,1196,0.0006203965970944816
gnk,500,0.0001665,k,0.0001665,IpsenMikhailov,0.0009149343845736983,1196,0.0028185916426583008
gnk,500,0.0001665,k,0.0001665,Jaccard,1.0,1196,0.0
gnk,500,0.0001665,k,0.0001665,LaplacianSpectralEUL,0.0014080763134402211,1196,0.004337788803441801
gnk,500,0.0001665,k,0.0001665,LaplacianSpectralGJS,0.0025125019959704163,1196,0.007740136612424003
gnk,500,0.0001665,k,0.0001665,NetLSD,1.1446732019310588,1196,3.5263362869907633
gnk,500,0.0001665,k,0.0001665,NetSimile,1.1538461538461537,1196,3.5391051876780453
gnk,500,0.0001665,k,0.0001665,PolynomialDissimilarity,5.396529449945162e-07,1196,1.6624812733496759e-06
gnk,500,0.0001665,k,0.0001665,PortraitDivergence,0.00019030845499297806,1196,0.0005862735402827278
gnk,500,0.0001665,k,0.0001665,QuantumJSD,0.00033617509832016936,1196,0.0010495403626726316
